,walk.date,location,pres.final
2,2013-04-08,EW2,1
8,2013-04-15,EW2,3
14,2013-04-22,EW2,2
20,2013-04-29,EW2,3
26,2013-05-07,EW2,0
32,2013-05-13,EW2,3
38,2013-05-20,EW2,3
44,2013-05-28,EW2,3
50,2013-06-03,EW2,1
56,2013-06-10,EW2,1
62,2013-06-17,EW2,1
68,2013-06-24,EW2,3
74,2013-07-01,EW2,3
80,2013-07-08,EW2,0
86,2013-07-29,EW2,2
92,2013-08-19,EW2,0
98,2013-09-09,EW2,2
104,2013-09-30,EW2,0
110,2013-10-21,EW2,1
116,2013-11-11,EW2,3
122,2013-12-02,EW2,1
128,2013-12-16,EW2,1
134,2014-01-13,EW2,2
140,2014-02-03,EW2,3
146,2014-02-24,EW2,2
152,2014-03-17,EW2,0
158,2014-04-07,EW2,2
164,2014-04-14,EW2,2
170,2014-04-22,EW2,3
176,2014-04-28,EW2,2
182,2014-05-06,EW2,3
188,2014-05-12,EW2,2
194,2014-05-19,EW2,3
200,2014-05-27,EW2,3
206,2014-06-02,EW2,3
212,2014-06-09,EW2,3
218,2014-06-16,EW2,3
224,2014-06-23,EW2,1
230,2014-06-30,EW2,0
236,2014-07-07,EW2,3
